M, P, Q, R, S, OC, INC, INH_, INW_, KH, KW, strideH, strideW, padL, padR, padU, padD, w_mode, latency
32,32,16,32,4,320,192,17,17,3,3,2,2,0,0,0,0,sta,53520
32,32,16,16,8,320,192,17,17,3,3,2,2,0,0,0,0,sta,53528
32,32,16,32,4,128,128,17,17,7,1,1,1,0,0,3,3,sta,55452
32,32,16,16,8,128,128,17,17,7,1,1,1,0,0,3,3,sta,55460
32,32,16,32,4,320,2048,8,8,1,1,1,1,0,0,0,0,sta,63260
32,32,16,16,8,320,2048,8,8,1,1,1,1,0,0,0,0,sta,63268
32,32,16,32,4,384,384,8,8,3,1,1,1,0,0,1,1,sta,42960
32,32,16,16,8,384,384,8,8,3,1,1,1,0,0,1,1,sta,42968
32,32,16,32,4,256,128,28,28,1,1,2,2,0,0,0,0,sta,12304
32,32,16,16,8,256,128,28,28,1,1,2,2,0,0,0,0,sta,11820
32,32,16,32,4,64,32,147,147,3,3,1,1,1,1,1,1,sta,594756
32,32,16,16,8,64,32,147,147,3,3,1,1,1,1,1,1,sta,594764
32,32,16,32,4,192,192,17,17,1,7,1,1,3,3,0,0,sta,123812
32,32,16,16,8,192,192,17,17,1,7,1,1,3,3,0,0,sta,123820
32,32,16,32,4,64,8,224,224,11,11,4,4,2,2,2,2,sta,281352
32,32,16,16,8,64,8,224,224,11,11,4,4,2,2,2,2,sta,281360
32,32,16,32,4,64,192,35,35,1,1,1,1,0,0,0,0,sta,23640
32,32,16,16,8,64,192,35,35,1,1,1,1,0,0,0,0,sta,23648
32,32,16,32,4,384,2048,8,8,1,1,1,1,0,0,0,0,sta,75772
32,32,16,16,8,384,2048,8,8,1,1,1,1,0,0,0,0,sta,75780
32,32,16,32,4,512,512,14,14,3,3,1,1,1,1,1,1,sta,788052
32,32,16,16,8,512,512,14,14,3,3,1,1,1,1,1,1,sta,788060
32,32,16,32,4,192,64,27,27,5,5,1,1,2,2,2,2,sta,337600
32,32,16,16,8,192,64,27,27,5,5,1,1,2,2,2,2,sta,337608
32,32,16,32,4,384,448,8,8,3,3,1,1,1,1,1,1,sta,148400
32,32,16,16,8,384,448,8,8,3,3,1,1,1,1,1,1,sta,148408
32,32,16,32,4,192,768,17,17,1,1,1,1,0,0,0,0,sta,71092
32,32,16,16,8,192,768,17,17,1,1,1,1,0,0,0,0,sta,71100
32,32,16,32,4,192,128,17,17,1,7,1,1,3,3,0,0,sta,82792
32,32,16,16,8,192,128,17,17,1,7,1,1,3,3,0,0,sta,82800
32,32,16,32,4,64,8,224,224,7,7,2,2,3,3,3,3,sta,469588
32,32,16,16,8,64,8,224,224,7,7,2,2,3,3,3,3,sta,469596
32,32,16,32,4,64,8,299,299,3,3,2,2,0,0,0,0,sta,259692
32,32,16,16,8,64,8,299,299,3,3,2,2,0,0,0,0,sta,153228
32,32,16,32,4,192,1280,8,8,1,1,1,1,0,0,0,0,sta,24224
32,32,16,16,8,192,1280,8,8,1,1,1,1,0,0,0,0,sta,24232
32,32,16,32,4,64,64,56,56,3,3,1,1,1,1,1,1,sta,172992
32,32,16,16,8,64,64,56,56,3,3,1,1,1,1,1,1,sta,173000
32,32,16,32,4,384,1280,8,8,1,1,1,1,0,0,0,0,sta,47640
32,32,16,16,8,384,1280,8,8,1,1,1,1,0,0,0,0,sta,47648
32,32,16,32,4,320,1280,8,8,1,1,1,1,0,0,0,0,sta,39832
32,32,16,16,8,320,1280,8,8,1,1,1,1,0,0,0,0,sta,39840
32,32,16,32,4,512,256,14,14,1,1,2,2,0,0,0,0,sta,14504
32,32,16,16,8,512,256,14,14,1,1,2,2,0,0,0,0,sta,13500
32,32,16,32,4,192,128,17,17,7,1,1,1,0,0,3,3,sta,82792
32,32,16,16,8,192,128,17,17,7,1,1,1,0,0,3,3,sta,82800
32,32,16,32,4,512,256,14,14,3,3,2,2,1,1,1,1,sta,113256
32,32,16,16,8,512,256,14,14,3,3,2,2,1,1,1,1,sta,113264
32,32,16,32,4,128,64,35,35,3,3,1,1,1,1,1,1,sta,137852
32,32,16,16,8,128,64,35,35,3,3,1,1,1,1,1,1,sta,137860
32,32,16,32,4,64,256,35,35,1,1,1,1,0,0,0,0,sta,31244
32,32,16,16,8,64,256,35,35,1,1,1,1,0,0,0,0,sta,31252
32,32,16,32,4,128,64,56,56,1,1,2,2,0,0,0,0,sta,13704
32,32,16,16,8,128,64,56,56,1,1,2,2,0,0,0,0,sta,10600
32,32,16,32,4,256,128,28,28,3,3,2,2,1,1,1,1,sta,99184
32,32,16,16,8,256,128,28,28,3,3,2,2,1,1,1,1,sta,99192
32,32,16,32,4,192,80,73,73,3,3,1,1,0,0,0,0,sta,1041988
32,32,16,16,8,192,80,73,73,3,3,1,1,0,0,0,0,sta,1041996
32,32,16,32,4,384,384,8,8,1,3,1,1,1,1,0,0,sta,42960
32,32,16,16,8,384,384,8,8,1,3,1,1,1,1,0,0,sta,42968
32,32,16,32,4,192,192,17,17,7,1,1,1,0,0,3,3,sta,123812
32,32,16,16,8,192,192,17,17,7,1,1,1,0,0,3,3,sta,123820
32,32,16,32,4,64,288,35,35,1,1,1,1,0,0,0,0,sta,35044
32,32,16,16,8,64,288,35,35,1,1,1,1,0,0,0,0,sta,35052
32,32,16,32,4,384,288,35,35,3,3,2,2,0,0,0,0,sta,475256
32,32,16,16,8,384,288,35,35,3,3,2,2,0,0,0,0,sta,475264
32,32,16,32,4,128,64,73,73,1,1,1,1,0,0,0,0,sta,66004
32,32,16,16,8,128,64,73,73,1,1,1,1,0,0,0,0,sta,66012
32,32,16,32,4,128,96,35,35,3,3,2,2,0,0,0,0,sta,53520
32,32,16,16,8,128,96,35,35,3,3,2,2,0,0,0,0,sta,53528
32,32,16,32,4,256,384,13,13,3,3,1,1,1,1,1,1,sta,253832
32,32,16,16,8,256,384,13,13,3,3,1,1,1,1,1,1,sta,253840
32,32,16,32,4,128,768,17,17,1,1,1,1,0,0,0,0,sta,47644
32,32,16,16,8,128,768,17,17,1,1,1,1,0,0,0,0,sta,47652
32,32,16,32,4,384,192,13,13,3,3,1,1,1,1,1,1,sta,190552
32,32,16,16,8,384,192,13,13,3,3,1,1,1,1,1,1,sta,190560
32,32,16,32,4,64,48,35,35,5,5,1,1,2,2,2,2,sta,143564
32,32,16,16,8,64,48,35,35,5,5,1,1,2,2,2,2,sta,143572
32,32,16,32,4,192,160,17,17,7,1,1,1,0,0,3,3,sta,103280
32,32,16,16,8,192,160,17,17,7,1,1,1,0,0,3,3,sta,103288
32,32,16,32,4,128,64,56,56,3,3,2,2,1,1,1,1,sta,88664
32,32,16,16,8,128,64,56,56,3,3,2,2,1,1,1,1,sta,88672
32,32,16,32,4,448,1280,8,8,1,1,1,1,0,0,0,0,sta,55440
32,32,16,16,8,448,1280,8,8,1,1,1,1,0,0,0,0,sta,55448
32,32,16,32,4,128,128,28,28,3,3,1,1,1,1,1,1,sta,176528
32,32,16,16,8,128,128,28,28,3,3,1,1,1,1,1,1,sta,176536
32,32,16,32,4,192,160,17,17,1,7,1,1,3,3,0,0,sta,103280
32,32,16,16,8,192,160,17,17,1,7,1,1,3,3,0,0,sta,103288
32,32,16,32,4,512,512,7,7,3,3,1,1,1,1,1,1,sta,225704
32,32,16,16,8,512,512,7,7,3,3,1,1,1,1,1,1,sta,225712
32,32,16,32,4,128,96,35,35,3,3,1,1,1,1,1,1,sta,206384
32,32,16,16,8,128,96,35,35,3,3,1,1,1,1,1,1,sta,206392
32,32,16,32,4,192,2048,8,8,1,1,1,1,0,0,0,0,sta,38284
32,32,16,16,8,192,2048,8,8,1,1,1,1,0,0,0,0,sta,38292
32,32,16,32,4,448,2048,8,8,1,1,1,1,0,0,0,0,sta,88252
32,32,16,16,8,448,2048,8,8,1,1,1,1,0,0,0,0,sta,88260
32,32,16,32,4,256,256,14,14,3,3,1,1,1,1,1,1,sta,197608
32,32,16,16,8,256,256,14,14,3,3,1,1,1,1,1,1,sta,197616
32,32,16,32,4,256,256,13,13,3,3,1,1,1,1,1,1,sta,169480
32,32,16,16,8,256,256,13,13,3,3,1,1,1,1,1,1,sta,169488
32,32,16,32,4,128,128,17,17,1,7,1,1,3,3,0,0,sta,55452
32,32,16,16,8,128,128,17,17,1,7,1,1,3,3,0,0,sta,55460
32,32,16,32,4,64,32,149,149,3,3,1,1,0,0,0,0,sta,594756
32,32,16,16,8,64,32,149,149,3,3,1,1,0,0,0,0,sta,594764
32,32,16,32,4,192,192,17,17,3,3,2,2,0,0,0,0,sta,32412
32,32,16,16,8,192,192,17,17,3,3,2,2,0,0,0,0,sta,32420
