ins_idx,latency(cycles),latency(ns)
1,10227,40908
2,79957,319828
3,40112,160448
4,40112,160448
5,20188,80752
6,20189,80756
7,20188,80752
8,20188,80752
9,3170,12680
10,1602,6408
11,1602,6408
12,1602,6408
13,1602,6408
14,40111,160444
15,7662,30648
16,21409,85636
17,13480,53920
18,13480,53920
19,13480,53920
20,13480,53920
21,818,3272
22,622,2488
23,622,2488
24,622,2488
25,622,2488
26,24345,97380
27,4782,19128
28,13276,53104
29,5145,20580
30,5145,20580
31,5144,20576
32,5145,20580
33,450,1800
34,190,760
35,190,760
36,190,760
37,190,760
38,17071,68284
39,1900,7600
40,5145,20580
41,1688,6752
42,1689,6756
43,1689,6756
44,1689,6756
45,226,904
46,98,392
47,98,392
48,98,392
49,98,392
50,7765,31060
51,12716,50864
52,8511,34044
